"Country","other_interv1","other_interv1_off","major_intervention","other_interv2","other_interv2_off","major_intervention_off","interv_dummy"
"France_2nd",2020-07-10,2020-07-10,2020-07-10,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-07-10,2020-07-25,2020-07-25,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-07-10,2020-08-09,2020-08-09,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-07-10,2020-08-24,2020-08-24,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-07-10,2020-09-08,2020-09-08,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-07-10,2020-09-23,2020-09-23,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-07-10,2020-10-08,2020-10-08,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-07-10,2020-10-23,2020-10-23,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-07-10,2020-11-07,2020-11-07,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-07-10,2020-11-22,2020-11-22,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-07-25,2020-07-25,2020-07-25,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-07-25,2020-08-09,2020-08-09,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-07-25,2020-08-24,2020-08-24,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-07-25,2020-09-08,2020-09-08,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-07-25,2020-09-23,2020-09-23,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-07-25,2020-10-08,2020-10-08,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-07-25,2020-10-23,2020-10-23,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-07-25,2020-11-07,2020-11-07,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-07-25,2020-11-22,2020-11-22,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-08-09,2020-08-09,2020-08-09,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-08-09,2020-08-24,2020-08-24,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-08-09,2020-09-08,2020-09-08,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-08-09,2020-09-23,2020-09-23,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-08-09,2020-10-08,2020-10-08,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-08-09,2020-10-23,2020-10-23,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-08-09,2020-11-07,2020-11-07,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-08-09,2020-11-22,2020-11-22,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-08-24,2020-08-24,2020-08-24,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-08-24,2020-09-08,2020-09-08,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-08-24,2020-09-23,2020-09-23,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-08-24,2020-10-08,2020-10-08,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-08-24,2020-10-23,2020-10-23,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-08-24,2020-11-07,2020-11-07,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-08-24,2020-11-22,2020-11-22,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-09-08,2020-09-08,2020-09-08,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-09-08,2020-09-23,2020-09-23,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-09-08,2020-10-08,2020-10-08,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-09-08,2020-10-23,2020-10-23,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-09-08,2020-11-07,2020-11-07,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-09-08,2020-11-22,2020-11-22,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-09-23,2020-09-23,2020-09-23,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-09-23,2020-10-08,2020-10-08,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-09-23,2020-10-23,2020-10-23,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-09-23,2020-11-07,2020-11-07,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-09-23,2020-11-22,2020-11-22,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-10-08,2020-10-08,2020-10-08,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-10-08,2020-10-23,2020-10-23,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-10-08,2020-11-07,2020-11-07,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-10-08,2020-11-22,2020-11-22,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-10-23,2020-10-23,2020-10-23,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-10-23,2020-11-07,2020-11-07,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-10-23,2020-11-22,2020-11-22,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-11-07,2020-11-07,2020-11-07,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-11-07,2020-11-22,2020-11-22,2020-12-30,2020-12-30,2020-12-30,2020-12-30
"France_2nd",2020-11-22,2020-11-22,2020-11-22,2020-12-30,2020-12-30,2020-12-30,2020-12-30
