"","DateRep","day","month","year","Cases","Deaths","Countries.and.territories","geoId","countryterritoryCode","popData2018","continentExp","t"
"5104","25/02/2020",25,2,2020,0,0,"France","FR","FRA",66987244,"Europe",2020.15027322404
"5103","26/02/2020",26,2,2020,2,0,"France","FR","FRA",66987244,"Europe",2020.15300546448
"5102","27/02/2020",27,2,2020,3,1,"France","FR","FRA",66987244,"Europe",2020.15573770492
"5101","28/02/2020",28,2,2020,21,0,"France","FR","FRA",66987244,"Europe",2020.15846994536
"5100","29/02/2020",29,2,2020,19,0,"France","FR","FRA",66987244,"Europe",2020.16120218579
"5099","01/03/2020",1,3,2020,43,0,"France","FR","FRA",66987244,"Europe",2020.16393442623
"5098","02/03/2020",2,3,2020,30,0,"France","FR","FRA",66987244,"Europe",2020.16666666667
"5097","03/03/2020",3,3,2020,48,1,"France","FR","FRA",66987244,"Europe",2020.1693989071
"5096","04/03/2020",4,3,2020,34,1,"France","FR","FRA",66987244,"Europe",2020.17213114754
"5095","05/03/2020",5,3,2020,73,0,"France","FR","FRA",66987244,"Europe",2020.17486338798
"5094","06/03/2020",6,3,2020,138,3,"France","FR","FRA",66987244,"Europe",2020.17759562842
"5093","07/03/2020",7,3,2020,190,2,"France","FR","FRA",66987244,"Europe",2020.18032786885
"5092","08/03/2020",8,3,2020,103,1,"France","FR","FRA",66987244,"Europe",2020.18306010929
"5091","09/03/2020",9,3,2020,410,9,"France","FR","FRA",66987244,"Europe",2020.18579234973
"5090","10/03/2020",10,3,2020,286,11,"France","FR","FRA",66987244,"Europe",2020.18852459016
"5089","11/03/2020",11,3,2020,372,3,"France","FR","FRA",66987244,"Europe",2020.1912568306
"5088","12/03/2020",12,3,2020,497,15,"France","FR","FRA",66987244,"Europe",2020.19398907104
"5087","13/03/2020",13,3,2020,595,13,"France","FR","FRA",66987244,"Europe",2020.19672131148
"5086","14/03/2020",14,3,2020,785,18,"France","FR","FRA",66987244,"Europe",2020.19945355191
"5085","15/03/2020",15,3,2020,838,12,"France","FR","FRA",66987244,"Europe",2020.20218579235
"5084","16/03/2020",16,3,2020,924,36,"France","FR","FRA",66987244,"Europe",2020.20491803279
"5083","17/03/2020",17,3,2020,1210,21,"France","FR","FRA",66987244,"Europe",2020.20765027322
"5082","18/03/2020",18,3,2020,1097,27,"France","FR","FRA",66987244,"Europe",2020.21038251366
"5081","19/03/2020",19,3,2020,1404,69,"France","FR","FRA",66987244,"Europe",2020.2131147541
"5080","20/03/2020",20,3,2020,1861,128,"France","FR","FRA",66987244,"Europe",2020.21584699454
"5079","21/03/2020",21,3,2020,1617,78,"France","FR","FRA",66987244,"Europe",2020.21857923497
"5078","22/03/2020",22,3,2020,1847,112,"France","FR","FRA",66987244,"Europe",2020.22131147541
"5077","23/03/2020",23,3,2020,1559,112,"France","FR","FRA",66987244,"Europe",2020.22404371585
"5076","24/03/2020",24,3,2020,3838,186,"France","FR","FRA",66987244,"Europe",2020.22677595628
"5075","25/03/2020",25,3,2020,2446,240,"France","FR","FRA",66987244,"Europe",2020.22950819672
"5074","26/03/2020",26,3,2020,2931,231,"France","FR","FRA",66987244,"Europe",2020.23224043716
"5073","27/03/2020",27,3,2020,3922,365,"France","FR","FRA",66987244,"Europe",2020.2349726776
"5072","28/03/2020",28,3,2020,3809,299,"France","FR","FRA",66987244,"Europe",2020.23770491803
"5071","29/03/2020",29,3,2020,4611,319,"France","FR","FRA",66987244,"Europe",2020.24043715847
"5070","30/03/2020",30,3,2020,2599,292,"France","FR","FRA",66987244,"Europe",2020.24316939891
"5069","31/03/2020",31,3,2020,4376,418,"France","FR","FRA",66987244,"Europe",2020.24590163934
"5068","01/04/2020",1,4,2020,7578,499,"France","FR","FRA",66987244,"Europe",2020.24863387978
"5067","02/04/2020",2,4,2020,4861,509,"France","FR","FRA",66987244,"Europe",2020.25136612022
"5066","03/04/2020",3,4,2020,2116,471,"France","FR","FRA",66987244,"Europe",2020.25409836066
"5065","04/04/2020",4,4,2020,5233,2004,"France","FR","FRA",66987244,"Europe",2020.25683060109
"5064","05/04/2020",5,4,2020,4267,1053,"France","FR","FRA",66987244,"Europe",2020.25956284153
"5063","06/04/2020",6,4,2020,1873,518,"France","FR","FRA",66987244,"Europe",2020.26229508197
"5062","07/04/2020",7,4,2020,3912,833,"France","FR","FRA",66987244,"Europe",2020.2650273224
"5061","08/04/2020",8,4,2020,3777,1417,"France","FR","FRA",66987244,"Europe",2020.26775956284
"5060","09/04/2020",9,4,2020,3881,541,"France","FR","FRA",66987244,"Europe",2020.27049180328
"5059","10/04/2020",10,4,2020,4286,1341,"France","FR","FRA",66987244,"Europe",2020.27322404372
"5058","11/04/2020",11,4,2020,4342,987,"France","FR","FRA",66987244,"Europe",2020.27595628415
"5057","12/04/2020",12,4,2020,3114,635,"France","FR","FRA",66987244,"Europe",2020.27868852459
"5056","13/04/2020",13,4,2020,1613,561,"France","FR","FRA",66987244,"Europe",2020.28142076503
"5055","14/04/2020",14,4,2020,2673,574,"France","FR","FRA",66987244,"Europe",2020.28415300546
"5054","15/04/2020",15,4,2020,5497,762,"France","FR","FRA",66987244,"Europe",2020.2868852459
"5053","16/04/2020",16,4,2020,2633,1438,"France","FR","FRA",66987244,"Europe",2020.28961748634
"5052","17/04/2020",17,4,2020,2641,753,"France","FR","FRA",66987244,"Europe",2020.29234972678
"5051","18/04/2020",18,4,2020,405,761,"France","FR","FRA",66987244,"Europe",2020.29508196721
"5050","19/04/2020",19,4,2020,2569,642,"France","FR","FRA",66987244,"Europe",2020.29781420765
"5049","20/04/2020",20,4,2020,785,395,"France","FR","FRA",66987244,"Europe",2020.30054644809
"5048","21/04/2020",21,4,2020,2051,547,"France","FR","FRA",66987244,"Europe",2020.30327868852
"5047","22/04/2020",22,4,2020,2667,531,"France","FR","FRA",66987244,"Europe",2020.30601092896
"5046","23/04/2020",23,4,2020,1827,544,"France","FR","FRA",66987244,"Europe",2020.3087431694
"5045","24/04/2020",24,4,2020,1653,516,"France","FR","FRA",66987244,"Europe",2020.31147540984
"5044","25/04/2020",25,4,2020,1773,389,"France","FR","FRA",66987244,"Europe",2020.31420765027
"5043","26/04/2020",26,4,2020,1537,369,"France","FR","FRA",66987244,"Europe",2020.31693989071
"5042","27/04/2020",27,4,2020,461,242,"France","FR","FRA",66987244,"Europe",2020.31967213115
"5041","28/04/2020",28,4,2020,1195,437,"France","FR","FRA",66987244,"Europe",2020.32240437158
"5040","29/04/2020",29,4,2020,1065,367,"France","FR","FRA",66987244,"Europe",2020.32513661202
"5039","30/04/2020",30,4,2020,1607,427,"France","FR","FRA",66987244,"Europe",2020.32786885246
"5038","01/05/2020",1,5,2020,1139,289,"France","FR","FRA",66987244,"Europe",2020.3306010929
"5037","02/05/2020",2,5,2020,604,218,"France","FR","FRA",66987244,"Europe",2020.33333333333
"5036","03/05/2020",3,5,2020,794,166,"France","FR","FRA",66987244,"Europe",2020.33606557377
"5035","04/05/2020",4,5,2020,308,135,"France","FR","FRA",66987244,"Europe",2020.33879781421
"5034","05/05/2020",5,5,2020,576,306,"France","FR","FRA",66987244,"Europe",2020.34153005464
