"","DateRep","day","month","year","Cases","Deaths","Countries.and.territories","geoId","countryterritoryCode","popData2018","continentExp","t"
"13155","22/02/2020",22,2,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.14207650273
"13154","23/02/2020",23,2,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.14480874317
"13153","24/02/2020",24,2,2020,0,0,"Spain","ES","ESP",46723749,"Europe",2020.14754098361
"13152","25/02/2020",25,2,2020,1,0,"Spain","ES","ESP",46723749,"Europe",2020.15027322404
"13151","26/02/2020",26,2,2020,4,0,"Spain","ES","ESP",46723749,"Europe",2020.15300546448
"13150","27/02/2020",27,2,2020,5,0,"Spain","ES","ESP",46723749,"Europe",2020.15573770492
"13149","28/02/2020",28,2,2020,13,0,"Spain","ES","ESP",46723749,"Europe",2020.15846994536
"13148","29/02/2020",29,2,2020,9,0,"Spain","ES","ESP",46723749,"Europe",2020.16120218579
"13147","01/03/2020",1,3,2020,32,0,"Spain","ES","ESP",46723749,"Europe",2020.16393442623
"13146","02/03/2020",2,3,2020,17,0,"Spain","ES","ESP",46723749,"Europe",2020.16666666667
"13145","03/03/2020",3,3,2020,31,0,"Spain","ES","ESP",46723749,"Europe",2020.1693989071
"13144","04/03/2020",4,3,2020,37,0,"Spain","ES","ESP",46723749,"Europe",2020.17213114754
"13143","05/03/2020",5,3,2020,49,1,"Spain","ES","ESP",46723749,"Europe",2020.17486338798
"13142","06/03/2020",6,3,2020,61,2,"Spain","ES","ESP",46723749,"Europe",2020.17759562842
"13141","07/03/2020",7,3,2020,113,2,"Spain","ES","ESP",46723749,"Europe",2020.18032786885
"13140","08/03/2020",8,3,2020,56,0,"Spain","ES","ESP",46723749,"Europe",2020.18306010929
"13139","09/03/2020",9,3,2020,159,0,"Spain","ES","ESP",46723749,"Europe",2020.18579234973
"13138","10/03/2020",10,3,2020,615,23,"Spain","ES","ESP",46723749,"Europe",2020.18852459016
"13137","11/03/2020",11,3,2020,435,7,"Spain","ES","ESP",46723749,"Europe",2020.1912568306
"13136","12/03/2020",12,3,2020,501,12,"Spain","ES","ESP",46723749,"Europe",2020.19398907104
"13135","13/03/2020",13,3,2020,864,37,"Spain","ES","ESP",46723749,"Europe",2020.19672131148
"13134","14/03/2020",14,3,2020,1227,37,"Spain","ES","ESP",46723749,"Europe",2020.19945355191
"13133","15/03/2020",15,3,2020,1522,15,"Spain","ES","ESP",46723749,"Europe",2020.20218579235
"13132","16/03/2020",16,3,2020,2000,152,"Spain","ES","ESP",46723749,"Europe",2020.20491803279
"13131","17/03/2020",17,3,2020,1438,21,"Spain","ES","ESP",46723749,"Europe",2020.20765027322
"13130","18/03/2020",18,3,2020,1987,182,"Spain","ES","ESP",46723749,"Europe",2020.21038251366
"13129","19/03/2020",19,3,2020,2538,107,"Spain","ES","ESP",46723749,"Europe",2020.2131147541
"13128","20/03/2020",20,3,2020,3431,169,"Spain","ES","ESP",46723749,"Europe",2020.21584699454
"13127","21/03/2020",21,3,2020,2833,235,"Spain","ES","ESP",46723749,"Europe",2020.21857923497
"13126","22/03/2020",22,3,2020,4946,324,"Spain","ES","ESP",46723749,"Europe",2020.22131147541
"13125","23/03/2020",23,3,2020,3646,394,"Spain","ES","ESP",46723749,"Europe",2020.22404371585
"13124","24/03/2020",24,3,2020,4517,462,"Spain","ES","ESP",46723749,"Europe",2020.22677595628
"13123","25/03/2020",25,3,2020,6584,514,"Spain","ES","ESP",46723749,"Europe",2020.22950819672
"13122","26/03/2020",26,3,2020,7937,738,"Spain","ES","ESP",46723749,"Europe",2020.23224043716
"13121","27/03/2020",27,3,2020,8578,655,"Spain","ES","ESP",46723749,"Europe",2020.2349726776
