"DateRep","Cases","Deaths","Countries.and.territories"
"30/12/2019",0,0,"France_1st"
"31/12/2019",0,0,"France_1st"
"01/01/2020",0,0,"France_1st"
"02/01/2020",0,0,"France_1st"
"03/01/2020",0,0,"France_1st"
"04/01/2020",0,0,"France_1st"
"05/01/2020",0,0,"France_1st"
"06/01/2020",0,0,"France_1st"
"07/01/2020",0,0,"France_1st"
"08/01/2020",0,0,"France_1st"
"09/01/2020",0,0,"France_1st"
"10/01/2020",0,0,"France_1st"
"11/01/2020",0,0,"France_1st"
"12/01/2020",0,0,"France_1st"
"13/01/2020",0,0,"France_1st"
"14/01/2020",0,0,"France_1st"
"15/01/2020",0,0,"France_1st"
"16/01/2020",0,0,"France_1st"
"17/01/2020",0,0,"France_1st"
"18/01/2020",0,0,"France_1st"
"19/01/2020",0,0,"France_1st"
"20/01/2020",0,0,"France_1st"
"21/01/2020",0,0,"France_1st"
"22/01/2020",0,0,"France_1st"
"23/01/2020",0,0,"France_1st"
"24/01/2020",3,0,"France_1st"
"25/01/2020",0,0,"France_1st"
"26/01/2020",0,0,"France_1st"
"27/01/2020",0,0,"France_1st"
"28/01/2020",1,0,"France_1st"
"29/01/2020",1,0,"France_1st"
"30/01/2020",1,0,"France_1st"
"31/01/2020",0,0,"France_1st"
"01/02/2020",0,0,"France_1st"
"02/02/2020",0,0,"France_1st"
"03/02/2020",0,0,"France_1st"
"04/02/2020",0,0,"France_1st"
"05/02/2020",0,0,"France_1st"
"06/02/2020",0,0,"France_1st"
"07/02/2020",5,0,"France_1st"
"08/02/2020",0,0,"France_1st"
"09/02/2020",0,0,"France_1st"
"10/02/2020",0,0,"France_1st"
"11/02/2020",0,0,"France_1st"
"12/02/2020",0,0,"France_1st"
"13/02/2020",0,0,"France_1st"
"14/02/2020",0,1,"France_1st"
"15/02/2020",0,0,"France_1st"
"16/02/2020",1,0,"France_1st"
"17/02/2020",0,0,"France_1st"
"18/02/2020",0,0,"France_1st"
"19/02/2020",0,0,"France_1st"
"20/02/2020",0,0,"France_1st"
"21/02/2020",0,0,"France_1st"
"22/02/2020",0,0,"France_1st"
"23/02/2020",0,0,"France_1st"
"24/02/2020",0,0,"France_1st"
"25/02/2020",2,0,"France_1st"
"26/02/2020",3,1,"France_1st"
"27/02/2020",21,0,"France_1st"
"28/02/2020",19,0,"France_1st"
"29/02/2020",43,0,"France_1st"
"01/03/2020",30,0,"France_1st"
"02/03/2020",48,1,"France_1st"
"03/03/2020",34,1,"France_1st"
"04/03/2020",73,0,"France_1st"
"05/03/2020",138,3,"France_1st"
"06/03/2020",190,2,"France_1st"
"07/03/2020",103,1,"France_1st"
"08/03/2020",410,9,"France_1st"
"09/03/2020",286,11,"France_1st"
"10/03/2020",372,3,"France_1st"
"11/03/2020",497,15,"France_1st"
"12/03/2020",595,13,"France_1st"
"13/03/2020",785,18,"France_1st"
"14/03/2020",838,12,"France_1st"
"15/03/2020",924,36,"France_1st"
"16/03/2020",1210,21,"France_1st"
"17/03/2020",1097,27,"France_1st"
"18/03/2020",1404,69,"France_1st"
"19/03/2020",1861,128,"France_1st"
"20/03/2020",1617,78,"France_1st"
"21/03/2020",1847,112,"France_1st"
"22/03/2020",2230,112,"France_1st"
"23/03/2020",3167,186,"France_1st"
"24/03/2020",2446,240,"France_1st"
"25/03/2020",2931,288,"France_1st"
"26/03/2020",3922,307,"France_1st"
"27/03/2020",3809,299,"France_1st"
"28/03/2020",4611,320,"France_1st"
"29/03/2020",2599,292,"France_1st"
"30/03/2020",4376,418,"France_1st"
"31/03/2020",7578,499,"France_1st"
"01/04/2020",4861,509,"France_1st"
"02/04/2020",2116,471,"France_1st"
"03/04/2020",5233,588,"France_1st"
"04/04/2020",4267,441,"France_1st"
"05/04/2020",1873,357,"France_1st"
"06/04/2020",3912,605,"France_1st"
"07/04/2020",3777,597,"France_1st"
"08/04/2020",3881,541,"France_1st"
"09/04/2020",4286,412,"France_1st"
"10/04/2020",4342,554,"France_1st"
"11/04/2020",3114,345,"France_1st"
"12/04/2020",1613,310,"France_1st"
"13/04/2020",2673,335,"France_1st"
"14/04/2020",5497,541,"France_1st"
"15/04/2020",2633,514,"France_1st"
"16/04/2020",2641,417,"France_1st"
"17/04/2020",405,418,"France_1st"
"18/04/2020",2569,364,"France_1st"
"19/04/2020",785,227,"France_1st"
"20/04/2020",2051,444,"France_1st"
"21/04/2020",2667,387,"France_1st"
"22/04/2020",1827,336,"France_1st"
