"","DateRep","day","month","year","Cases","Deaths","Countries.and.territories","geoId","countryterritoryCode","popData2018","continentExp","t"
"5513","22/02/2020",22,2,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.14207650273
"5512","23/02/2020",23,2,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.14480874317
"5511","24/02/2020",24,2,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.14754098361
"5510","25/02/2020",25,2,2020,0,0,"Germany","DE","DEU",82927922,"Europe",2020.15027322404
"5509","26/02/2020",26,2,2020,2,0,"Germany","DE","DEU",82927922,"Europe",2020.15300546448
"5508","27/02/2020",27,2,2020,4,0,"Germany","DE","DEU",82927922,"Europe",2020.15573770492
"5507","28/02/2020",28,2,2020,26,0,"Germany","DE","DEU",82927922,"Europe",2020.15846994536
"5506","29/02/2020",29,2,2020,10,0,"Germany","DE","DEU",82927922,"Europe",2020.16120218579
"5505","01/03/2020",1,3,2020,54,0,"Germany","DE","DEU",82927922,"Europe",2020.16393442623
"5504","02/03/2020",2,3,2020,18,0,"Germany","DE","DEU",82927922,"Europe",2020.16666666667
"5503","03/03/2020",3,3,2020,28,0,"Germany","DE","DEU",82927922,"Europe",2020.1693989071
"5502","04/03/2020",4,3,2020,39,0,"Germany","DE","DEU",82927922,"Europe",2020.17213114754
"5501","05/03/2020",5,3,2020,66,0,"Germany","DE","DEU",82927922,"Europe",2020.17486338798
"5500","06/03/2020",6,3,2020,138,0,"Germany","DE","DEU",82927922,"Europe",2020.17759562842
"5499","07/03/2020",7,3,2020,284,0,"Germany","DE","DEU",82927922,"Europe",2020.18032786885
"5498","08/03/2020",8,3,2020,163,0,"Germany","DE","DEU",82927922,"Europe",2020.18306010929
"5497","09/03/2020",9,3,2020,55,0,"Germany","DE","DEU",82927922,"Europe",2020.18579234973
"5496","10/03/2020",10,3,2020,237,2,"Germany","DE","DEU",82927922,"Europe",2020.18852459016
"5495","11/03/2020",11,3,2020,157,0,"Germany","DE","DEU",82927922,"Europe",2020.1912568306
"5494","12/03/2020",12,3,2020,271,1,"Germany","DE","DEU",82927922,"Europe",2020.19398907104
"5493","13/03/2020",13,3,2020,802,2,"Germany","DE","DEU",82927922,"Europe",2020.19672131148
"5492","14/03/2020",14,3,2020,693,0,"Germany","DE","DEU",82927922,"Europe",2020.19945355191
"5491","15/03/2020",15,3,2020,733,3,"Germany","DE","DEU",82927922,"Europe",2020.20218579235
"5490","16/03/2020",16,3,2020,1043,4,"Germany","DE","DEU",82927922,"Europe",2020.20491803279
"5489","17/03/2020",17,3,2020,1174,1,"Germany","DE","DEU",82927922,"Europe",2020.20765027322
"5488","18/03/2020",18,3,2020,1144,0,"Germany","DE","DEU",82927922,"Europe",2020.21038251366
"5487","19/03/2020",19,3,2020,1042,0,"Germany","DE","DEU",82927922,"Europe",2020.2131147541
"5486","20/03/2020",20,3,2020,5940,30,"Germany","DE","DEU",82927922,"Europe",2020.21584699454
"5485","21/03/2020",21,3,2020,4049,2,"Germany","DE","DEU",82927922,"Europe",2020.21857923497
"5484","22/03/2020",22,3,2020,3276,22,"Germany","DE","DEU",82927922,"Europe",2020.22131147541
"5483","23/03/2020",23,3,2020,3311,27,"Germany","DE","DEU",82927922,"Europe",2020.22404371585
"5482","24/03/2020",24,3,2020,4438,32,"Germany","DE","DEU",82927922,"Europe",2020.22677595628
"5481","25/03/2020",25,3,2020,2342,23,"Germany","DE","DEU",82927922,"Europe",2020.22950819672
"5480","26/03/2020",26,3,2020,4954,49,"Germany","DE","DEU",82927922,"Europe",2020.23224043716
"5479","27/03/2020",27,3,2020,5780,55,"Germany","DE","DEU",82927922,"Europe",2020.2349726776
"5478","28/03/2020",28,3,2020,6294,72,"Germany","DE","DEU",82927922,"Europe",2020.23770491803
"5477","29/03/2020",29,3,2020,3965,64,"Germany","DE","DEU",82927922,"Europe",2020.24043715847
"5476","30/03/2020",30,3,2020,4751,66,"Germany","DE","DEU",82927922,"Europe",2020.24316939891
"5475","31/03/2020",31,3,2020,4615,128,"Germany","DE","DEU",82927922,"Europe",2020.24590163934
"5474","01/04/2020",1,4,2020,5453,149,"Germany","DE","DEU",82927922,"Europe",2020.24863387978
"5473","02/04/2020",2,4,2020,6156,140,"Germany","DE","DEU",82927922,"Europe",2020.25136612022
"5472","03/04/2020",3,4,2020,6174,145,"Germany","DE","DEU",82927922,"Europe",2020.25409836066
"5471","04/04/2020",4,4,2020,6082,141,"Germany","DE","DEU",82927922,"Europe",2020.25683060109
"5470","05/04/2020",5,4,2020,5936,184,"Germany","DE","DEU",82927922,"Europe",2020.25956284153
"5469","06/04/2020",6,4,2020,3677,92,"Germany","DE","DEU",82927922,"Europe",2020.26229508197
"5468","07/04/2020",7,4,2020,3834,173,"Germany","DE","DEU",82927922,"Europe",2020.2650273224
