"Country","other_interv1","other_interv1_off","major_intervention","major_intervention_off","other_interv2","other_interv2_off","interv_dummy"
"Spain_2nd",2020-08-16,2020-11-04,2020-11-04,"2021-01-06","2021-01-06","2021-01-06","2021-01-06"
"Spain_2nd",2020-08-16,2020-11-06,2020-11-06,"2021-01-06","2021-01-06","2021-01-06","2021-01-06"
"Spain_2nd",2020-08-18,2020-11-04,2020-11-04,"2021-01-06","2021-01-06","2021-01-06","2021-01-06"
"Spain_2nd",2020-08-18,2020-11-06,2020-11-06,"2021-01-06","2021-01-06","2021-01-06","2021-01-06"
